Longitude (x),Latitude (y),Geothermal_Gradient_C_deg_km,Bouguer_Anomaly_mGal,Heat_Flow_mW_m2,Annual_Mean_Temperature_C,Soil_Organic_Carbon_ton_ha,Soil_pH_H2O,Available_Water_Storage_mm_m,Elevation_m,faults_distance_km,geological_province_prov_type,mineralization_distance_km,mineralization_TipoMinera,volcano_distance_km,mineral_commodity_distance_km,Slip_type_general_Id,mineral_commodity_group,Tree_Cover_Percentage,Porosity,Permeability_permafrost,PGA_Mean,Lithology,tcco2_column,nuevos1_co2_1000hPa,nuevos1_co_1000hPa,fco2gpp_flux,cape_geop_conv,surf_geop_z,geop_z_1000hPa
23.9,42.5,28.971117,59.87254,73.57,4.9263892,45.138184,5.525,100.0,840.61792,17.515333419378024,magmatic province,13.081475451945924,porcu,545.4771027128177,18.812358724168632,1.0,Compuestos Químicos y Subproductos,38.01,0.01,-14.1,0.204045650845316,Mixed sedimentary rocks,422.10150146484375,0.0006695028278045356,1.9986238442015747e-07,0.0,0.0625,7662.53857421875,1841.1455078125
24.1,42.4,25.458868,63.119579,63.689999,6.2416663,48.518578,6.4,100.0,566.41479,26.14968055054422,magmatic province,15.339079765606357,porcu,537.5188216834549,9.747614516732009,1.0,Compuestos Químicos y Subproductos,9.84,0.01,-14.1,0.2040999378356611,Siliciclastic sedimentary rocks,422.185302734375,0.0006713476614095271,1.9745255031011766e-07,0.0,0.01785714365541935,5000.54248046875,1815.9356689453125
24.1,41.5,30.107864,55.243294,71.339996,5.0243053,48.619766,5.8,100.0,984.77911,27.311724242776773,magmatic province,21.206520223742743,nicrpge,439.1646169080223,74.22773570245707,2.0,Minerales Industriales,34.11,0.01,-14.1,0.1794203916263036,Metamorphics,422.11419677734375,0.0006677676574327052,1.6305186534282257e-07,0.0,6.788690567016602,9188.537109375,1758.9783935546875
24.3,42.0,26.49835,60.510429,56.8,4.6993055,39.732792,5.5,100.0,943.30542,25.911752291773634,magmatic province,39.45088551675149,porcu,498.037117195064,52.24575096683348,1.0,Metales Base,51.25,0.19,-15.2,0.1902271274136908,Acid volcanic rocks,422.0832824707031,0.0006648649577982724,1.7306855681908928e-07,0.0,1.0803571939468384,9858.5380859375,1770.1793212890625
24.4,43.0,28.467333,93.055946,61.740002,6.1263885,49.798782,6.5,125.0,436.82742,41.51674115918521,shield,46.75855430500672,porcu,608.9616358063698,30.10005673910464,1.0,Desconocido,19.82,0.06,-11.8,0.089172225511339,Metamorphics,422.0094909667969,0.0006669746362604201,1.7297988108566642e-07,0.0,0.3333333432674408,5314.5419921875,1823.2034912109375
24.9,41.9,29.703075,55.724556,68.739998,3.6256943,48.069656,7.0,15.0,1182.6676,17.04574808707447,magmatic province,45.69162943034766,porcu,506.062154388144,30.55585459594278,1.0,Metales Base,22.59,0.01,-14.1,0.1954838281301314,Metamorphics,422.081787109375,0.0006691296584904194,1.645231719749063e-07,0.0,1.3333333730697632,8020.5380859375,1765.094482421875
25.0,42.9,30.747562,87.000237,69.419998,5.3291669,49.762142,6.6,15.0,601.8338,33.05128932421286,shield,71.41103522757437,phosphate,614.7410250536152,30.2007775182031,1.0,Desconocido,48.77,0.06,-11.8,0.1048801129274326,Carbonate sedimentary rocks,422.1487731933594,0.000667268002871424,1.690478086402436e-07,0.0,2.8660714626312256,4702.54296875,1815.7861328125
25.3,41.5,44.581757,114.11581,95.800003,7.2118063,44.155491,6.4,100.0,386.12854,47.16127453439478,magmatic province,16.65,nicrpge,482.496456774555,5.3554743908360045,2.0,Metales Base,14.15,0.19,-15.2,0.1385625342583699,Metamorphics,422.1928405761719,0.0006724678096361458,1.8174027616169042e-07,0.0,24.45535659790039,4732.54296875,1765.5185546875
25.3,42.3,18.567223,83.84243,38.709999,6.8201389,46.857311,6.8,125.0,371.2713,34.05389951220455,magmatic province,21.09324536432992,porcu,546.1245121764814,43.59318324547177,1.0,Minerales Industriales,4.17,0.19,-15.2,0.1979225492954074,Siliciclastic sedimentary rocks,422.2704162597656,0.0006743138073943555,1.9113031157758087e-07,0.0,6.2589287757873535,2804.540771484375,1777.1033935546875
25.6,41.7,27.208212,102.92339,65.860001,7.2437491,42.929295,6.4,100.0,364.17044,24.050350344830665,magmatic province,55.99727225499477,nicrpge,474.3324960404887,25.02206073141293,1.0,Metales Base,17.19,0.19,-15.2,0.1583327619670289,Metamorphics,422.2197265625,0.0006735252682119608,2.0199756534111657e-07,0.0,36.49702453613281,3170.54150390625,1766.0296630859375
25.7,42.3,22.75486,94.100586,59.75,7.71875,43.729382,6.6,15.0,157.82387,23.847015482652733,magmatic province,53.93630502731733,porcu,518.1548482837924,29.952304109588447,1.0,Minerales Industriales,7.49,0.19,-15.2,0.1712611186673239,Siliciclastic sedimentary rocks,422.3928527832031,0.0006751239998266101,2.384844606240222e-07,0.0,11.142857551574707,1388.5399169921875,1775.719482421875
27.3,42.9,27.641197,105.40269,62.029999,6.0340281,45.472145,6.8,125.0,355.58948,24.45119253383944,shield,34.757851994532096,phosphate,498.2750312829252,49.9867728630299,1.0,Minerales Industriales,31.71,0.06,-11.8,0.1237336453303492,Carbonate sedimentary rocks,422.1088562011719,0.000667113286908716,1.9421979402522993e-07,0.0,8.461309432983398,2786.540771484375,1768.1837158203125
10.3,6.4,28.485235,24.921341,65.779999,11.474999,135.46719,5.0,150.0,1290.1711,301.56537631456683,craton,385.30663762774674,ree,27.75,176.89803224668506,1.0,Minerales Industriales,16.49,0.09,-13.0,0.0136569793263799,Basic volcanic rocks,422.4368591308594,0.0006728814332745969,2.5893274369082064e-07,9.363811059870386e-09,67.42857360839844,13318.544921875,1212.081298828125
